Charger Latitude,Charger Longitude,Hour,Demand Count Near Origin,Demand Count Near Destination,Total Demand Count,lat_lon,id
22.3354512,114.1829159,21,2232,3662,5894,"(22.3354512, 114.1829159)",10
22.3354512,114.1829159,22,2056,1683,3739,"(22.3354512, 114.1829159)",10
22.3354512,114.1829159,23,1582,1512,3094,"(22.3354512, 114.1829159)",10
22.3363635,114.1536869,0,691,586,1277,"(22.3363635, 114.1536869)",11
22.3363635,114.1536869,1,295,566,861,"(22.3363635, 114.1536869)",11
22.3363635,114.1536869,2,603,201,804,"(22.3363635, 114.1536869)",11
22.3363635,114.1536869,3,223,225,448,"(22.3363635, 114.1536869)",11
22.3363635,114.1536869,4,201,2,203,"(22.3363635, 114.1536869)",11
22.3363635,114.1536869,5,206,0,206,"(22.3363635, 114.1536869)",11
22.3363635,114.1536869,6,264,197,461,"(22.3363635, 114.1536869)",11
22.3363635,114.1536869,7,2229,1579,3808,"(22.3363635, 114.1536869)",11
22.3363635,114.1536869,8,2264,2170,4434,"(22.3363635, 114.1536869)",11
22.3363635,114.1536869,9,2974,1908,4882,"(22.3363635, 114.1536869)",11
22.3363635,114.1536869,10,453,223,676,"(22.3363635, 114.1536869)",11
22.3363635,114.1536869,11,200,763,963,"(22.3363635, 114.1536869)",11
22.3363635,114.1536869,12,1700,1729,3429,"(22.3363635, 114.1536869)",11
22.3363635,114.1536869,13,2248,2327,4575,"(22.3363635, 114.1536869)",11
22.3363635,114.1536869,14,1441,1594,3035,"(22.3363635, 114.1536869)",11
22.3363635,114.1536869,15,2066,1330,3396,"(22.3363635, 114.1536869)",11
22.3363635,114.1536869,16,1897,601,2498,"(22.3363635, 114.1536869)",11
22.3363635,114.1536869,17,574,897,1471,"(22.3363635, 114.1536869)",11
22.3363635,114.1536869,18,1893,1439,3332,"(22.3363635, 114.1536869)",11
22.3363635,114.1536869,19,1135,1810,2945,"(22.3363635, 114.1536869)",11
22.3363635,114.1536869,20,304,634,938,"(22.3363635, 114.1536869)",11
22.3363635,114.1536869,21,961,1279,2240,"(22.3363635, 114.1536869)",11
22.3363635,114.1536869,22,706,817,1523,"(22.3363635, 114.1536869)",11
22.3363635,114.1536869,23,861,1586,2447,"(22.3363635, 114.1536869)",11
22.307455,114.1718953,0,2322,1052,3374,"(22.307455, 114.1718953)",12
22.307455,114.1718953,1,2515,57,2572,"(22.307455, 114.1718953)",12
22.307455,114.1718953,2,2239,957,3196,"(22.307455, 114.1718953)",12
22.307455,114.1718953,3,225,201,426,"(22.307455, 114.1718953)",12
22.307455,114.1718953,4,0,687,687,"(22.307455, 114.1718953)",12
22.307455,114.1718953,5,219,425,644,"(22.307455, 114.1718953)",12
22.307455,114.1718953,6,631,1439,2070,"(22.307455, 114.1718953)",12
22.307455,114.1718953,7,4093,4414,8507,"(22.307455, 114.1718953)",12
22.307455,114.1718953,8,5169,4401,9570,"(22.307455, 114.1718953)",12
22.307455,114.1718953,9,5652,7078,12730,"(22.307455, 114.1718953)",12
22.307455,114.1718953,10,2987,4093,7080,"(22.307455, 114.1718953)",12
22.307455,114.1718953,11,3712,3755,7467,"(22.307455, 114.1718953)",12
22.307455,114.1718953,12,6182,4474,10656,"(22.307455, 114.1718953)",12
22.307455,114.1718953,13,5116,5594,10710,"(22.307455, 114.1718953)",12
22.307455,114.1718953,14,1928,3595,5523,"(22.307455, 114.1718953)",12
22.307455,114.1718953,15,2674,5977,8651,"(22.307455, 114.1718953)",12
22.307455,114.1718953,16,4103,3117,7220,"(22.307455, 114.1718953)",12
22.307455,114.1718953,17,4489,4116,8605,"(22.307455, 114.1718953)",12
22.307455,114.1718953,18,4614,5022,9636,"(22.307455, 114.1718953)",12
22.307455,114.1718953,19,5100,5015,10115,"(22.307455, 114.1718953)",12
22.307455,114.1718953,20,3261,3341,6602,"(22.307455, 114.1718953)",12
22.307455,114.1718953,21,5363,3706,9069,"(22.307455, 114.1718953)",12
22.307455,114.1718953,22,2343,1133,3476,"(22.307455, 114.1718953)",12
22.307455,114.1718953,23,3589,1682,5271,"(22.307455, 114.1718953)",12
22.3211383,114.1637496,0,1857,847,2704,"(22.3211383, 114.1637496)",13
22.3211383,114.1637496,1,1599,554,2153,"(22.3211383, 114.1637496)",13
22.3211383,114.1637496,2,1012,624,1636,"(22.3211383, 114.1637496)",13
22.3211383,114.1637496,3,263,225,488,"(22.3211383, 114.1637496)",13
22.3211383,114.1637496,4,201,404,605,"(22.3211383, 114.1637496)",13
22.3211383,114.1637496,5,187,174,361,"(22.3211383, 114.1637496)",13
22.3211383,114.1637496,6,832,1171,2003,"(22.3211383, 114.1637496)",13
22.3211383,114.1637496,7,4195,4530,8725,"(22.3211383, 114.1637496)",13
22.3211383,114.1637496,8,4686,3707,8393,"(22.3211383, 114.1637496)",13
22.3211383,114.1637496,9,3880,5229,9109,"(22.3211383, 114.1637496)",13
22.3211383,114.1637496,10,3367,2597,5964,"(22.3211383, 114.1637496)",13
22.3211383,114.1637496,11,3247,2233,5480,"(22.3211383, 114.1637496)",13
22.3211383,114.1637496,12,5596,3695,9291,"(22.3211383, 114.1637496)",13
22.3211383,114.1637496,13,5485,3694,9179,"(22.3211383, 114.1637496)",13
22.3211383,114.1637496,14,2499,3391,5890,"(22.3211383, 114.1637496)",13
22.3211383,114.1637496,15,4228,4753,8981,"(22.3211383, 114.1637496)",13
22.3211383,114.1637496,16,4279,2640,6919,"(22.3211383, 114.1637496)",13
22.3211383,114.1637496,17,2212,3681,5893,"(22.3211383, 114.1637496)",13
